Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Aircraft,"{'name': 'Aircraft', 'id': '923340792367'}",0.262,4.286
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Motorcycles and Scooter,"{'name': 'Motorcycles and Scooter', 'id': '927349329594'}",0.254,2.391
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Watercraft,"{'name': 'Watercraft', 'id': '945927342064'}",0.181,5.858
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Auto Services and Repair,"{'name': 'Auto Services and Repair', 'id': '895341869140'}",0.146,3.145
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Car and Motorcycle Design,"{'name': 'Car and Motorcycle Design', 'id': '896742500696'}",0.131,2.356
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Campers and RV,"{'name': 'Campers and RV', 'id': '903916128253'}",0.07,4.91
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Commercial Vehicles,"{'name': 'Commercial Vehicles', 'id': '957481581908'}",0.01,
Quotes,"{'name': 'Quotes', 'id': '948192800438'}",0.558,1.081,Quotes by Genres,"{'name': 'Quotes by Genres', 'id': '919926839991'}",0.944,0.978
Quotes,"{'name': 'Quotes', 'id': '948192800438'}",0.558,1.081,Poetry,"{'name': 'Poetry', 'id': '928308391348'}",0.014,0.666
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Animals and Pet Supplies,"{'name': 'Animals and Pet Supplies', 'id': '903972677830'}",0.409,1.414
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Bird,"{'name': 'Bird', 'id': '952174338649'}",0.292,2.046
